record_id,td_sim_0,td_sim_1,record_atd
75,333.0,,333.0
77,,314.0,314.0
83,99.0,,99.0
85,,101.0,101.0
146,62.0,,62.0
148,,65.0,65.0
160,25.0,,25.0
162,,32.0,32.0
175,13.0,,13.0
177,,10.0,10.0
306,76.0,,76.0
308,,90.0,90.0
409,22.0,,22.0
411,,30.0,30.0
429,58.0,,58.0
431,,72.0,72.0
501,107.0,,107.0
503,,129.0,129.0
525,36.0,,36.0
527,,5.0,5.0
610,273.0,,273.0
612,,305.0,305.0
820,85.0,,85.0
822,,85.0,85.0
872,258.0,,258.0
874,,204.0,204.0
928,118.0,,118.0
930,,119.0,119.0
1044,372.0,,372.0
1046,,385.0,385.0
1274,14.0,,14.0
1276,,11.0,11.0
1282,24.0,,24.0
1284,,38.0,38.0
1285,,19.0,19.0
1335,72.0,,72.0
1337,,89.0,89.0
1377,100.0,,100.0
1379,,103.0,103.0
1388,159.0,,159.0
1390,33.0,162.0,97.5
1392,,33.0,33.0
1495,10.0,,10.0
1497,,20.0,20.0
1516,254.0,,254.0
1518,,188.0,188.0
1569,27.0,,27.0
1571,,41.0,41.0
1605,65.0,,65.0
1607,,73.0,73.0
1612,945.0,,945.0
1614,,1056.0,1056.0
1669,15.0,,15.0
1671,,18.0,18.0
1678,34.0,,34.0
1680,,35.0,35.0
1730,132.0,,132.0
1732,,123.0,123.0
1745,16.0,,16.0
1747,,25.0,25.0
1757,6.0,,6.0
1759,,22.0,22.0
1784,40.0,,40.0
1786,,1.0,1.0
average_simulation_TD,121.34375,121.3030303030303,
